Order_ID,Order_Date,Ship_Date,Sales_Channel,Warehouse_Code,Region,State,City,Customer_Name,Customer_Segment,Product_Category,Product_Name,Unit_Price,Unit_Cost,Quantity,Total_Revenue,Total_Cost,Profit,Discount_Percent,Sales_Rep
SO-10037,2022-07-31,2022-08-05,Wholesale,WARE-NBV1002,Midwest,Kansas,Olathe,Global Bright Trading,Enterprise,Clothing,Formal Jacket,129.99,55.0,15,1657.35,825.0,832.35,15,Michael Brown
SO-10038,2022-08-13,2022-08-18,Wholesale,WARE-UHY1004,West,Utah,Orem,Coastal Pioneer Retail,Retail,Office Supplies,Desk Organizer,29.99,11.0,10,299.9,110.0,189.9,0,Robert Adams
SO-10039,2023-08-01,2023-08-04,Online,WARE-PJW3508,Southeast,Delaware,Wilmington,Summit Digital Corp,Retail,Clothing,Running Shoes,89.99,38.0,2,165.58,76.0,89.58,8,Lisa Chen
SO-10040,2022-10-12,2022-10-16,Online,WARE-PJW3508,South,Arkansas,Fayetteville,Horizon Global Supply,Small Business,Furniture,Bookshelf,249.99,110.0,14,3499.86,1540.0,1959.86,0,Sarah Mitchell
SO-10041,2022-01-21,2022-01-25,Wholesale,WARE-PJW3508,Southwest,New Mexico,Albuquerque,Atlantic Bright Group,Enterprise,Office Supplies,Filing Cabinet,199.99,95.0,5,899.95,475.0,424.95,10,Robert Adams
SO-10042,2022-04-21,2022-05-01,In-Store,WARE-NBV1002,Southeast,Delaware,Wilmington,Coastal Coastal Supply,Government,Office Supplies,Heavy Duty Punch,79.99,34.0,1,67.99,34.0,33.99,15,Emily Johnson
SO-10043,2024-03-12,2024-03-16,Distributor,WARE-NBV1002,Northeast,New Jersey,Edison,Apex Pacific Commerce,Retail,Electronics,NAS Storage,899.99,450.0,2,1655.98,900.0,755.98,8,Amanda Torres
SO-10044,2022-06-06,2022-06-10,Wholesale,WARE-MCD2201,Northeast,Vermont,Rutland,Advanced Core Commerce,Retail,Clothing,Sun Hat,34.99,13.0,15,461.85,195.0,266.85,12,Rachel Scott
SO-10045,2023-04-07,2023-04-13,Online,WARE-MCD2201,Midwest,Indiana,Fort Wayne,Core Coastal Solutions,Enterprise,Electronics,Desktop Computer,1499.99,890.0,8,10199.92,7120.0,3079.92,15,Robert Adams
SO-10046,2022-10-14,2022-10-19,Wholesale,WARE-MCD2201,West,Colorado,Aurora,Elite Pacific Group,Government,Furniture,Office Chair,299.99,145.0,9,2375.91,1305.0,1070.91,12,Emily Johnson
SO-10047,2022-04-06,2022-04-10,Wholesale,WARE-ATL5509,Southwest,Hawaii,Kapolei,Sterling Bright Solutions,Government,Clothing,Business Casual Shirt,59.99,22.0,10,581.9,220.0,361.9,3,Lisa Chen
SO-10048,2023-04-10,2023-04-14,Online,WARE-ATL5509,West,Idaho,Meridian,Atlantic Elite Solutions,Small Business,Furniture,Floor Lamp,159.99,72.0,9,1396.71,648.0,748.71,3,Emily Johnson
SO-10049,2022-07-18,2022-07-22,In-Store,WARE-PJW3508,South,Arkansas,Fayetteville,Sterling Global Supply,Corporate,Furniture,Corner Desk,699.99,345.0,11,7699.89,3795.0,3904.89,0,James Carter
SO-10050,2022-01-13,2022-01-18,Distributor,WARE-MCD2201,Southeast,Maryland,Frederick,Pioneer Premier Inc,Corporate,Clothing,Summer Dress,79.99,30.0,10,719.9,300.0,419.9,10,Sarah Mitchell
SO-10051,2022-06-02,2022-06-12,Wholesale,WARE-ATL5509,West,New Mexico,Albuquerque,National Atlantic Commerce,Government,Electronics,Wireless Headphones,249.99,99.0,20,4999.8,1980.0,3019.8,0,Rachel Scott
SO-10052,2022-11-01,2022-11-05,Online,WARE-UHY1004,South,Oklahoma,Broken Arrow,Metro Core Supply,Small Business,Clothing,Golf Polo,64.99,26.0,30,1657.2,780.0,877.2,15,Michael Brown
SO-10053,2023-07-20,2023-07-24,Distributor,WARE-NBV1002,Southwest,Arizona,Tucson,Digital Core Enterprises,Small Business,Office Supplies,Projector,699.99,340.0,4,2575.96,1360.0,1215.96,8,Michael Brown
SO-10054,2022-08-28,2022-09-03,In-Store,WARE-UHY1004,Southwest,Colorado,Fort Collins,Elite Central LLC,Enterprise,Electronics,Laptop Cooling Pad,49.99,19.0,10,424.9,190.0,234.9,15,Robert Adams
SO-10055,2024-02-06,2024-02-11,Wholesale,WARE-MCD2201,Northeast,New York,Buffalo,Sterling Coastal Co,Corporate,Furniture,Bar Cart,299.99,140.0,10,2699.9,1400.0,1299.9,10,Rachel Scott
SO-10056,2022-04-04,2022-04-14,Distributor,WARE-ATL5509,Northeast,Vermont,Rutland,Bright Global Retail,Corporate,Furniture,Standing Desk,699.99,350.0,8,4759.92,2800.0,1959.92,15,Robert Adams
SO-10057,2023-08-23,2023-08-29,Wholesale,WARE-PJW3508,West,Idaho,Idaho Falls,Pacific Horizon Solutions,Enterprise,Furniture,Work Bench,549.99,270.0,15,7424.85,4050.0,3374.85,10,Sarah Mitchell
SO-10058,2023-11-10,2023-11-17,Distributor,WARE-PJW3508,South,Alabama,Mobile,Metro Digital LLC,Enterprise,Clothing,Winter Coat,149.99,65.0,28,3695.72,1820.0,1875.72,12,Sarah Mitchell
SO-10059,2022-02-25,2022-03-02,In-Store,WARE-PJW3508,West,Idaho,Boise,Horizon Digital Inc,Government,Clothing,Holiday Sweater,69.99,28.0,7,416.43,196.0,220.43,15,Robert Adams
SO-10060,2023-10-08,2023-10-14,Wholesale,WARE-NBV1002,Midwest,Iowa,Sioux City,Swift Global Commerce,Small Business,Electronics,Laptop Pro 13,1099.99,650.0,8,8359.92,5200.0,3159.92,5,Sarah Mitchell
SO-10061,2022-10-26,2022-11-01,Wholesale,WARE-ATL5509,West,Washington,Spokane,Horizon Horizon Group,Small Business,Clothing,Sun Hat,34.99,13.0,17,547.23,221.0,326.23,8,David Park
SO-10062,2022-10-10,2022-10-14,Distributor,WARE-ATL5509,South,South Carolina,Rock Hill,Advanced Global Co,Government,Office Supplies,Paper Shredder,129.99,62.0,14,1601.46,868.0,733.46,12,Amanda Torres
SO-10063,2022-12-07,2022-12-12,Wholesale,WARE-UHY1004,South,Arkansas,Jonesboro,Elite National Distributors,Retail,Clothing,Turtleneck,59.99,24.0,27,1538.73,648.0,890.73,5,James Carter
SO-10064,2024-03-22,2024-03-27,Distributor,WARE-NBV1002,Midwest,Iowa,Sioux City,Summit Unity Distributors,Retail,Clothing,Swimwear,49.99,19.0,5,249.95,95.0,154.95,0,Sarah Mitchell
SO-10065,2023-11-02,2023-11-05,Wholesale,WARE-NBV1002,Southeast,West Virginia,Charleston,Pioneer Core Supply,Enterprise,Office Supplies,Stapler Heavy Duty,29.99,11.0,12,341.88,132.0,209.88,5,Kevin Williams
SO-10066,2022-03-12,2022-03-18,Online,WARE-NBV1002,West,Nevada,North Las Vegas,National Pacific Trading,Retail,Electronics,Portable Charger,79.99,34.0,8,607.92,272.0,335.92,5,Robert Adams
SO-10067,2024-03-26,2024-03-30,Wholesale,WARE-ATL5509,Southwest,Colorado,Denver,Central Summit Group,Small Business,Electronics,Home Theater System,1499.99,820.0,2,2849.98,1640.0,1209.98,5,Robert Adams
SO-10068,2023-08-21,2023-08-25,Online,WARE-MCD2201,South,Florida,Pensacola,Digital Advanced Retail,Enterprise,Office Supplies,Desk Organizer,29.99,11.0,6,170.94,66.0,104.94,5,Kevin Williams
SO-10069,2022-11-03,2022-11-09,Wholesale,WARE-NBV1002,South,Florida,Boca Raton,Sterling Elite Trading,Small Business,Furniture,TV Stand,249.99,118.0,30,6749.7,3540.0,3209.7,10,David Park
SO-10070,2022-10-30,2022-11-13,Online,WARE-ATL5509,Southeast,Maryland,Bowie,Advanced Global Distributors,Retail,Furniture,Floor Lamp,159.99,72.0,1,147.19,72.0,75.19,8,Michael Brown
SO-10071,2022-07-14,2022-07-18,Wholesale,WARE-NBV1002,South,South Carolina,Greenville,Atlantic Metro Co,Government,Office Supplies,Ink Tank Printer,399.99,195.0,21,8399.79,4095.0,4304.79,0,Lisa Chen
SO-10072,2024-02-05,2024-02-09,Distributor,WARE-UHY1004,Southwest,Nevada,Las Vegas,Swift Apex Commerce,Enterprise,Furniture,Office Chair,299.99,145.0,14,4199.86,2030.0,2169.86,0,Amanda Torres
SO-10073,2022-05-25,2022-06-01,Wholesale,WARE-NBV1002,Midwest,Indiana,Indianapolis,Swift Apex LLC,Enterprise,Clothing,Polo Shirt,44.99,18.0,8,331.12,144.0,187.12,8,Kevin Williams
SO-10074,2023-01-26,2023-01-29,Distributor,WARE-ATL5509,Northeast,Maine,Bangor,Horizon Global Distributors,Small Business,Furniture,TV Stand,249.99,118.0,12,2909.88,1416.0,1493.88,3,Sarah Mitchell
SO-10075,2022-05-24,2022-06-03,In-Store,WARE-ATL5509,Southwest,Hawaii,Kailua,Horizon Atlantic LLC,Small Business,Clothing,Summer Dress,79.99,30.0,2,151.98,60.0,91.98,5,David Park
SO-10076,2024-01-31,2024-02-07,Distributor,WARE-NBV1002,West,Nevada,Sparks,Horizon Core Trading,Enterprise,Clothing,Running Shoes,89.99,38.0,5,449.95,190.0,259.95,0,Emily Johnson
SO-10077,2023-12-04,2023-12-09,In-Store,WARE-NBV1002,West,New Mexico,Las Cruces,Metro Coastal Co,Retail,Furniture,Corner Desk,699.99,345.0,26,17289.74,8970.0,8319.74,5,Sarah Mitchell
SO-10078,2024-03-16,2024-03-20,In-Store,WARE-ATL5509,Southwest,Utah,Orem,Bright Elite LLC,Small Business,Electronics,MacBook Pro 16,2499.99,1650.0,11,27499.89,18150.0,9349.89,0,Emily Johnson
SO-10079,2022-05-29,2022-06-03,Online,WARE-PJW3508,Midwest,Michigan,Ann Arbor,Atlantic Global Corp,Small Business,Electronics,Desktop Computer,1499.99,890.0,5,7499.95,4450.0,3049.95,0,Rachel Scott
SO-10080,2022-05-10,2022-05-15,Online,WARE-MCD2201,Midwest,Illinois,Springfield,Horizon Digital Solutions,Government,Furniture,Conference Table,999.99,520.0,14,13999.86,7280.0,6719.86,0,Emily Johnson
SO-10081,2023-10-21,2023-10-24,Online,WARE-MCD2201,Southeast,North Carolina,Winston-Salem,Coastal Central Retail,Retail,Furniture,Lateral File Cabinet,399.99,192.0,1,359.99,192.0,167.99,10,Sarah Mitchell
SO-10082,2022-05-10,2022-05-16,Distributor,WARE-MCD2201,Northeast,Rhode Island,East Providence,Swift Pioneer Trading,Government,Office Supplies,Paper Shredder,129.99,62.0,9,994.41,558.0,436.41,15,Rachel Scott
SO-10083,2023-04-08,2023-04-13,Online,WARE-PJW3508,West,Washington,Seattle,Coastal Central Supply,Retail,Office Supplies,Stapler Heavy Duty,29.99,11.0,8,215.92,88.0,127.92,10,Lisa Chen
SO-10084,2023-05-01,2023-05-04,Distributor,WARE-UHY1004,Southwest,Colorado,Aurora,Pacific Central LLC,Government,Office Supplies,Ergonomic Mouse,59.99,24.0,3,179.97,72.0,107.97,0,James Carter
SO-10085,2022-05-06,2022-05-11,Distributor,WARE-PJW3508,Southeast,Delaware,Smyrna,Metro Sterling Distributors,Corporate,Furniture,Hallway Table,279.99,132.0,14,3606.26,1848.0,1758.26,8,Rachel Scott
SO-10086,2022-04-21,2022-04-28,In-Store,WARE-MCD2201,Southeast,Virginia,Norfolk,Atlantic Advanced Distributors,Government,Clothing,Sports Jacket,109.99,46.0,12,1253.88,552.0,701.88,5,Rachel Scott
SO-10087,2022-07-04,2022-07-10,In-Store,WARE-UHY1004,Southeast,District of Columbia,Washington,Pioneer Apex Inc,Government,Furniture,Standing Desk,699.99,350.0,10,6649.9,3500.0,3149.9,5,David Park
SO-10088,2023-06-28,2023-07-03,Distributor,WARE-PJW3508,Northeast,Connecticut,Hartford,Pioneer Premier Solutions,Government,Electronics,Webcam HD,99.99,42.0,8,719.92,336.0,383.92,10,Rachel Scott
SO-10089,2022-02-20,2022-02-24,Wholesale,WARE-PJW3508,Northeast,New York,Buffalo,Horizon Core Enterprises,Small Business,Office Supplies,Copier Machine,1299.99,680.0,3,3587.97,2040.0,1547.97,8,Kevin Williams
SO-10090,2023-11-26,2023-12-01,Online,WARE-NBV1002,Northeast,Rhode Island,Pawtucket,Metro National Trading,Small Business,Electronics,Server Unit,4999.99,2800.0,34,161499.66,95200.0,66299.66,5,Michael Brown
SO-10091,2022-05-03,2022-05-08,In-Store,WARE-ATL5509,South,Georgia,Augusta,Premier Summit Trading,Government,Furniture,Office Chair,299.99,145.0,1,275.99,145.0,130.99,8,Lisa Chen
SO-10092,2023-04-16,2023-04-23,Wholesale,WARE-PJW3508,Northeast,Vermont,Burlington,Central Bright Trading,Corporate,Clothing,Business Casual Shirt,59.99,22.0,3,152.97,66.0,86.97,15,David Park
SO-10093,2023-01-06,2023-01-11,Wholesale,WARE-ATL5509,Northeast,Rhode Island,Cranston,National Central Distributors,Corporate,Clothing,Sun Hat,34.99,13.0,3,104.97,39.0,65.97,0,David Park
SO-10094,2022-03-20,2022-03-26,Distributor,WARE-UHY1004,Midwest,Indiana,Fort Wayne,Unity Elite Solutions,Small Business,Furniture,Work Bench,549.99,270.0,17,8227.83,4590.0,3637.83,12,Sarah Mitchell
SO-10095,2022-06-06,2022-06-09,Wholesale,WARE-ATL5509,South,Louisiana,Baton Rouge,Digital Bright Distributors,Government,Office Supplies,Copier Machine,1299.99,680.0,22,25739.78,14960.0,10779.78,10,Lisa Chen
SO-10096,2023-04-26,2023-05-02,Online,WARE-PJW3508,Southwest,Wyoming,Casper,Bright Metro Solutions,Retail,Clothing,Polo Shirt,44.99,18.0,15,641.1,270.0,371.1,5,Amanda Torres
SO-10097,2023-10-23,2023-10-29,Online,WARE-MCD2201,Northeast,New York,Albany,Coastal Digital Distributors,Government,Furniture,Executive Desk,1199.99,620.0,3,3167.97,1860.0,1307.97,12,Emily Johnson
SO-10098,2023-04-07,2023-04-14,In-Store,WARE-NBV1002,Midwest,Nebraska,Grand Island,Pacific Unity Retail,Small Business,Office Supplies,Printer Cartridges,89.99,32.0,4,341.96,128.0,213.96,5,Amanda Torres
SO-10099,2023-01-17,2023-01-22,Distributor,WARE-NBV1002,West,Idaho,Pocatello,Core Metro Retail,Enterprise,Office Supplies,Laminator,89.99,40.0,10,854.9,400.0,454.9,5,Sarah Mitchell
SO-10100,2024-01-12,2024-01-16,Wholesale,WARE-UHY1004,Southeast,District of Columbia,Washington,Summit Apex Co,Government,Furniture,Ergonomic Chair Pro,449.99,218.0,5,1912.45,1090.0,822.45,15,Sarah Mitchell
SO-10101,2023-11-18,2023-11-24,Distributor,WARE-PJW3508,Midwest,Kansas,Olathe,Unity Apex Inc,Small Business,Furniture,Glass Desk,799.99,400.0,8,5887.92,3200.0,2687.92,8,Emily Johnson
SO-10102,2022-06-08,2022-06-12,Online,WARE-PJW3508,Midwest,Iowa,Cedar Rapids,Unity Swift Supply,Government,Office Supplies,Document Scanner,299.99,145.0,4,1199.96,580.0,619.96,0,Robert Adams
SO-10103,2023-12-11,2023-12-17,In-Store,WARE-MCD2201,Southeast,West Virginia,Huntington,Central Apex Retail,Government,Office Supplies,Projector,699.99,340.0,13,9099.87,4420.0,4679.87,0,Michael Brown
SO-10104,2024-03-14,2024-03-24,Wholesale,WARE-PJW3508,Southwest,Hawaii,Hilo,Apex Bright Enterprises,Retail,Office Supplies,Heavy Duty Punch,79.99,34.0,16,1241.44,544.0,697.44,3,Kevin Williams
SO-10105,2022-05-22,2022-05-25,Online,WARE-PJW3508,Southeast,West Virginia,Huntington,Apex Swift LLC,Corporate,Office Supplies,Copier Machine,1299.99,680.0,9,10529.91,6120.0,4409.91,10,Robert Adams
SO-10106,2022-04-04,2022-04-11,Wholesale,WARE-ATL5509,Midwest,Iowa,Iowa City,Global Central Inc,Enterprise,Office Supplies,Stapler Heavy Duty,29.99,11.0,8,227.92,88.0,139.92,5,Emily Johnson
SO-10107,2022-11-23,2022-11-30,Distributor,WARE-MCD2201,West,Washington,Tacoma,Summit Summit Inc,Small Business,Office Supplies,Ergonomic Chair,349.99,175.0,9,2992.41,1575.0,1417.41,5,Amanda Torres
SO-10108,2022-09-20,2022-09-27,Online,WARE-PJW3508,West,Montana,Billings,Core Unity Trading,Small Business,Electronics,Laptop Pro 13,1099.99,650.0,7,6775.93,4550.0,2225.93,12,Michael Brown
SO-10109,2024-03-23,2024-03-26,In-Store,WARE-UHY1004,Northeast,New York,Buffalo,Core Swift Inc,Enterprise,Clothing,Board Shorts,54.99,21.0,15,742.35,315.0,427.35,10,David Park
SO-10110,2023-11-12,2023-11-17,Online,WARE-MCD2201,Northeast,Rhode Island,Cranston,Pacific Unity Commerce,Retail,Clothing,Chinos,74.99,30.0,8,569.92,240.0,329.92,5,James Carter
SO-10111,2022-01-17,2022-01-23,Distributor,WARE-UHY1004,Southwest,Alaska,Juneau,National Atlantic Distributors,Corporate,Furniture,Adjustable Monitor Stand,129.99,58.0,12,1481.88,696.0,785.88,5,Lisa Chen
SO-10112,2023-05-06,2023-05-13,In-Store,WARE-NBV1002,Southeast,Maryland,Frederick,Digital Metro Co,Small Business,Clothing,Sun Hat,34.99,13.0,6,209.94,78.0,131.94,0,James Carter
SO-10113,2023-04-30,2023-05-02,Distributor,WARE-PJW3508,Midwest,Wisconsin,Racine,Sterling Apex Inc,Corporate,Clothing,Linen Pants,64.99,26.0,9,567.36,234.0,333.36,3,Lisa Chen
SO-10114,2022-07-11,2022-07-17,Wholesale,WARE-NBV1002,West,Utah,West Jordan,Unity Advanced LLC,Retail,Clothing,Fleece Hoodie,74.99,30.0,17,1211.08,510.0,701.08,5,Rachel Scott
SO-10115,2022-03-23,2022-03-29,Wholesale,WARE-UHY1004,South,Oklahoma,Norman,Digital Core Supply,Retail,Furniture,Corner Desk,699.99,345.0,11,7314.89,3795.0,3519.89,5,Lisa Chen
SO-10116,2023-10-17,2023-10-20,In-Store,WARE-NBV1002,West,California,Fresno,Apex Unity Supply,Small Business,Clothing,Rain Jacket,99.99,42.0,2,183.98,84.0,99.98,8,Rachel Scott
SO-10117,2022-08-30,2022-09-04,In-Store,WARE-MCD2201,Southwest,Hawaii,Honolulu,Bright Metro Distributors,Enterprise,Office Supplies,Paper Shredder,129.99,62.0,22,2630.98,1364.0,1266.98,8,Lisa Chen
SO-10118,2023-01-11,2023-01-15,In-Store,WARE-MCD2201,West,Washington,Everett,National Atlantic Inc,Government,Office Supplies,Card Reader,39.99,15.0,13,493.87,195.0,298.87,5,David Park
SO-10119,2023-04-02,2023-04-16,In-Store,WARE-NBV1002,Southeast,North Carolina,Greensboro,Horizon Elite LLC,Retail,Furniture,Floor Lamp,159.99,72.0,7,1063.93,504.0,559.93,5,Robert Adams
SO-10120,2022-12-22,2022-12-27,In-Store,WARE-PJW3508,Southwest,Hawaii,Honolulu,Sterling Premier Supply,Government,Furniture,Hallway Table,279.99,132.0,7,1861.93,924.0,937.93,5,Emily Johnson
SO-10121,2022-01-27,2022-02-01,Online,WARE-NBV1002,Northeast,Pennsylvania,Pittsburgh,Digital Swift Corp,Enterprise,Office Supplies,Desk Organizer,29.99,11.0,12,341.88,132.0,209.88,5,David Park
SO-10122,2023-08-12,2023-08-15,Distributor,WARE-UHY1004,Southwest,Hawaii,Kaneohe,Pacific Digital Enterprises,Government,Clothing,Holiday Sweater,69.99,28.0,4,265.96,112.0,153.96,5,Rachel Scott
SO-10123,2023-06-15,2023-06-19,Distributor,WARE-NBV1002,South,Georgia,Columbus,Pioneer National Solutions,Enterprise,Electronics,iPhone 15,999.99,620.0,6,5999.94,3720.0,2279.94,0,Emily Johnson
